"Day of Month","Users","Sessions","Views","Bounce Rate %","Avg Session Duration (Sec)","Screen Views per Session","Sessions (New)"
,"14834","19560","38742","0.6834867075664621","261.40228042045254","1.9806748466257669","13602"
"17","789","875","1684","0.6754285714285714","240.68221070811745","1.9245714285714286","591"
"18","756","865","1671","0.6867052023121387","219.3432574430823","1.931791907514451","566"
"10","699","771","1625","0.6640726329442282","256.902489626556","2.1076523994811933","533"
"9","698","781","1609","0.6670934699103713","260.5386178861789","2.060179257362356","540"
"30","692","769","1588","0.6527958387516255","282.7004405286344","2.0650195058517555","520"
"11","684","755","1614","0.6569536423841059","266.27886710239653","2.137748344370861","491"
"3","679","748","1423","0.6510695187165776","229.5401301518438","1.9024064171122994","489"
"31","661","751","1572","0.6218375499334221","300.0315315315315","2.0932090545938746","483"
"8","655","753","1425","0.6626826029216467","228.63360323886639","1.8924302788844622","511"
"24","652","735","1601","0.6517006802721088","283.31304347826085","2.178231292517007","504"
"16","649","709","1561","0.6389280677009873","289.5200892857143","2.2016925246826515","488"
"25","642","722","1658","0.6274238227146814","331.2230046948357","2.296398891966759","485"
"29","634","712","1486","0.6418539325842697","297.256038647343","2.087078651685393","460"
"23","628","718","1400","0.6504178272980501","235.64772727272728","1.9498607242339834","450"
"15","627","695","1481","0.6359712230215827","265.2846715328467","2.130935251798561","453"
"22","624","683","1575","0.616398243045388","275.31873479318733","2.3060029282576866","447"
"4","620","684","1421","0.6418128654970761","367.5222772277228","2.077485380116959","437"
"2","609","694","1494","0.6512968299711815","297.1985472154964","2.152737752161383","443"
"12","585","631","1174","0.7036450079239303","181.2798913043478","1.86053882725832","454"
"26","568","641","1297","0.6942277691107644","286.31531531531533","2.0234009360374414","432"
"19","562","602","1107","0.7209302325581395","256.90402476780184","1.8388704318936877","433"
"5","542","595","1193","0.6672268907563025","329.12753623188405","2.0050420168067227","402"
"14","433","452","714","0.8053097345132744","187.0","1.579646017699115","384"
"13","408","451","747","0.7605321507760532","249.2760180995475","1.6563192904656319","384"
"7","393","423","682","0.7801418439716312","145.11170212765958","1.612293144208038","338"
"6","379","403","581","0.8188585607940446","224.53370786516854","1.4416873449131513","328"
"1","371","408","692","0.7794117647058824","274.0113636363636","1.696078431372549","324"
"27","368","403","644","0.7841191066997518","247.390243902439","1.598014888337469","307"
"28","368","399","636","0.7844611528822055","214.23214285714286","1.593984962406015","319"
"20","363","387","787","0.7932816537467701","309.3974358974359","2.03359173126615","315"
"21","345","369","600","0.8157181571815718","206.75496688741723","1.6260162601626016","304"
